"beer_receipts","cover_charge_receipts","inside_outside_city_limits_code_y_n","liquor_receipts","location_address","location_city","location_county","location_name","location_number","location_state","location_zip","obligation_end_date_yyyymmdd","responsibility_begin_date_yyyymmdd","responsibility_end_date_yyyymmdd","tabc_permit_number","taxpayer_address","taxpayer_city","taxpayer_county","taxpayer_name","taxpayer_number","taxpayer_state","taxpayer_zip","total_receipts","wine_receipts"
"60963","0","MB536413","20898","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-09-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","84592","2731"
"50158","0","MB536413","19737","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-05-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","71852","1957"
"55574","0","MB746923","25849","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","84264","2841"
"26629","0","MB536413","12948","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-08-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","40590","1013"
"43069","0","MB746923","21487","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","66277","1721"
"30102","0","MB746923","15424","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","47145","1619"
"44790","0","MB746923","19136","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-01-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","65786","1860"
"38516","0","MB746923","22324","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","63800","2960"
"62369","0","MB746923","20347","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-01-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","84910","2194"
"41758","0","MB746923","17042","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","60022","1222"
"35719","0","MB746923","14591","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-02-28T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","51747","1437"
"31732","0","MB746923","12608","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","45389","1049"
"44523","0","MB536413","17387","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-04-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","64214","2304"
"61231","0","MB746923","18731","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","82275","2313"
"24149","0","MB746923","15238","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","40822","1435"
"24154","0","MB746923","12169","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-02-28T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","37952","1629"
"62106","0","MB746923","27277","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","92088","2705"
"20548","0","MB746923","13490","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","35116","1078"
"55250","0","MB746923","24742","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","82931","2939"
"53909","0","MB536413","22128","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-09-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","78091","2054"
